,ID,bikes,bike_stands,last_update
0,42,19,11,1708951333000
1,30,0,20,1708950960000
2,54,23,10,1708951165000
3,108,2,33,1708951485000
4,20,25,5,1708951491000
5,56,25,15,1708951351000
6,6,1,19,1708951269000
7,18,21,9,1708951438000
8,32,20,10,1708951496000
9,52,14,18,1708951346000
10,48,1,39,1708951399000
11,13,11,19,1708951388000
12,43,13,17,1708951403000
13,31,16,4,1708951329000
14,98,29,11,1708951440000
15,14,23,7,1708951477000
16,1,11,20,1708951276000
17,23,21,9,1708951458000
18,106,2,38,1708951452000
19,112,2,28,1708951444000
20,68,26,13,1708951470000
21,74,4,26,1708951445000
22,87,0,38,1708951307000
23,84,0,30,1708951443000
24,90,29,11,1708951483000
25,11,21,9,1708951265000
26,17,1,19,1708951307000
27,45,13,17,1708951495000
28,114,26,13,1708951456000
29,72,15,15,1708951407000
30,63,18,17,1708951397000
31,113,18,22,1708951365000
32,91,1,29,1708951306000
33,99,21,9,1708951438000
34,9,11,13,1708951460000
35,67,10,30,1708951361000
36,116,3,27,1708951226000
37,55,24,12,1708951505000
38,62,21,19,1708951346000
39,5,12,28,1708951141000
40,97,4,36,1708951352000
41,61,0,25,1708951276000
42,77,25,4,1708951320000
43,73,0,30,1708951453000
44,4,17,3,1708950997000
45,49,29,11,1708951503000
46,19,25,5,1708951491000
47,7,18,11,1708951072000
48,60,3,27,1708951476000
49,102,5,35,1708951308000
50,38,30,10,1708951416000
51,53,11,29,1708951428000
52,58,19,21,1708951490000
53,66,20,20,1708951435000
54,104,1,39,1708951478000
55,101,5,25,1708951284000
56,115,4,26,1708951392000
57,47,11,29,1708950943000
58,117,19,19,1708951299000
59,8,17,13,1708951469000
60,27,16,4,1708951429000
61,16,6,14,1708951252000
62,96,1,29,1708951232000
63,82,0,22,1708951304000
64,76,6,32,1708951239000
65,71,3,37,1708951090000
66,79,0,27,1708951434000
67,69,36,4,1708951376000
68,25,19,11,1708951481000
69,51,13,27,1708951308000
70,37,9,21,1708951316000
71,59,0,20,1708951430000
72,95,15,25,1708950957000
73,94,4,36,1708951430000
74,105,5,31,1708951475000
75,36,11,29,1708951392000
76,93,0,40,1708951374000
77,22,12,8,1708951351000
78,50,13,27,1708950925000
79,110,2,38,1708951508000
80,12,10,10,1708951433000
81,34,12,18,1708951451000
82,78,8,32,1708951383000
83,2,4,15,1708951298000
84,75,13,27,1708951217000
85,111,0,40,1708951234000
86,26,6,14,1708951317000
87,65,29,11,1708951019000
88,15,0,16,1708951484000
89,86,2,36,1708951272000
90,35,6,24,1708951120000
91,10,8,8,1708950920000
92,100,2,23,1708950908000
93,24,8,12,1708951475000
94,64,13,27,1708951468000
95,109,27,2,1708951433000
96,85,2,33,1708951500000
97,107,1,39,1708951485000
98,33,12,11,1708951416000
99,44,0,30,1708951423000
100,89,12,28,1708950991000
101,57,11,11,1708951324000
102,80,0,40,1708951508000
103,41,3,17,1708951261000
104,3,1,19,1708951367000
105,40,15,6,1708950926000
106,29,27,2,1708951454000
107,103,5,35,1708951025000
108,28,0,30,1708951393000
109,39,15,5,1708951464000
110,83,1,39,1708951367000
111,92,0,40,1708951331000
112,21,22,8,1708951274000
113,88,13,17,1708951392000
