time_stamp,maxtemp_c,mintemp_c,avgtemp_c,maxwind_kph,totalprecip_mm,avgvis_km,avghumidity,uv,sunrise,sunset
2024-01-01,10.4,3.8,6.4,30.1,5.391,15.5,86.9,0.0,2024-01-01 08:40:26,2024-01-01 16:16:31
2024-01-02,9.9,6.8,8.5,28.8,6.06,14.7,89.7,0.0,2024-01-02 08:40:17,2024-01-02 16:17:38
2024-01-03,8.1,6.7,7.3,24.2,0.375,16.7,90.7,1.0,2024-01-03 08:40:04,2024-01-03 16:18:48
2024-01-04,7.1,4.1,5.6,24.2,0.005,18.7,85.9,2.0,2024-01-04 08:39:47,2024-01-04 16:20:00
2024-01-05,6.9,2.1,4.0,25.4,0.005,14.6,92.1,2.0,2024-01-05 08:39:27,2024-01-05 16:21:16
2024-01-06,5.8,0.7,2.2,18.2,0.003,18.0,92.6,2.0,2024-01-06 08:39:03,2024-01-06 16:22:34
2024-01-07,2.5,-2.8,-0.3,13.1,0.003,11.3,96.3,2.0,2024-01-07 08:38:36,2024-01-07 16:23:55
2024-01-08,4.6,1.2,3.4,29.2,2.99,19.0,74.8,1.0,2024-01-08 08:38:05,2024-01-08 16:25:18
2024-01-09,4.8,3.3,4.0,33.4,0.0,19.2,65.3,1.0,2024-01-09 08:37:31,2024-01-09 16:26:44
2024-01-10,6.4,3.7,5.1,29.9,0.075,21.1,75.4,1.0,2024-01-10 08:36:53,2024-01-10 16:28:12
2024-01-11,7.2,5.5,6.3,20.8,0.0,19.2,77.2,1.0,2024-01-11 08:36:12,2024-01-11 16:29:42
2024-01-12,5.7,0.9,3.7,14.6,0.0,16.4,82.7,0.0,2024-01-12 08:35:28,2024-01-12 16:31:15
2024-01-13,4.1,0.9,2.6,16.8,0.078,8.3,94.4,1.0,2024-01-13 08:34:40,2024-01-13 16:32:49
2024-01-14,4.9,0.3,2.5,19.2,0.077,18.6,90.4,1.0,2024-01-14 08:33:49,2024-01-14 16:34:26
2024-01-15,2.0,-2.6,-0.5,22.2,0.001,20.2,89.8,2.0,2024-01-15 08:32:55,2024-01-15 16:36:04
2024-01-16,4.1,-0.5,1.7,24.0,0.001,21.8,78.2,1.0,2024-01-16 08:31:58,2024-01-16 16:37:44
2024-01-17,1.9,-4.9,-1.8,15.8,0.001,19.2,89.0,2.0,2024-01-17 08:30:58,2024-01-17 16:39:26
2024-01-18,2.8,-5.0,-1.5,19.2,0.002,20.2,88.4,2.0,2024-01-18 08:29:55,2024-01-18 16:41:09
2024-01-19,6.6,-1.2,2.6,35.4,0.001,22.5,70.9,2.0,2024-01-19 08:28:49,2024-01-19 16:42:54
2024-01-20,9.9,6.5,8.2,40.0,1.695,17.1,82.3,2.0,2024-01-20 08:27:40,2024-01-20 16:44:40
2024-01-21,13.1,6.8,9.9,56.1,3.133,16.7,81.9,1.0,2024-01-21 08:26:29,2024-01-21 16:46:28
2024-01-22,8.5,4.9,6.4,45.3,2.243,18.7,76.7,2.0,2024-01-22 08:25:14,2024-01-22 16:48:17
2024-01-23,14.0,5.2,10.2,43.9,5.272,14.0,81.7,1.0,2024-01-23 08:23:57,2024-01-23 16:50:07
2024-01-24,10.0,5.9,7.7,47.3,1.095,14.4,78.8,1.0,2024-01-24 08:22:38,2024-01-24 16:51:58
2024-01-25,12.9,7.2,11.1,37.7,0.767,16.5,85.6,2.0,2024-01-25 08:21:15,2024-01-25 16:53:50
2024-01-26,8.1,3.1,5.9,40.5,3.004,20.4,76.5,2.0,2024-01-26 08:19:51,2024-01-26 16:55:42
2024-01-27,10.8,6.1,8.5,31.4,0.0,19.5,75.1,1.0,2024-01-27 08:18:23,2024-01-27 16:57:36
2024-01-28,12.8,7.0,10.6,43.5,0.004,16.3,78.9,2.0,2024-01-28 08:16:54,2024-01-28 16:59:30
2024-01-29,6.8,2.0,4.6,20.3,11.244,12.1,89.7,0.0,2024-01-29 08:15:22,2024-01-29 17:01:25
2024-01-30,7.8,-0.2,3.2,20.3,0.001,21.0,81.1,2.0,2024-01-30 08:13:48,2024-01-30 17:03:21
2024-01-31,10.8,3.9,6.9,39.7,1.536,17.4,79.8,2.0,2024-01-31 08:12:12,2024-01-31 17:05:17
2024-02-01,9.8,2.9,5.9,25.3,0.001,16.7,81.2,2.0,2024-02-01 08:10:33,2024-02-01 17:07:14
2024-02-02,12.6,9.8,11.3,30.4,0.078,16.0,87.6,2.0,2024-02-02 08:08:53,2024-02-02 17:09:11
2024-02-03,11.1,7.8,9.2,32.2,0.229,14.5,91.3,1.0,2024-02-03 08:07:10,2024-02-03 17:11:09
2024-02-04,13.1,7.9,10.6,40.3,0.006,16.7,83.4,2.0,2024-02-04 08:05:26,2024-02-04 17:13:06
2024-02-05,11.6,9.0,10.4,33.3,0.005,19.1,79.1,1.0,2024-02-05 08:03:39,2024-02-05 17:15:04
2024-02-06,10.8,2.3,7.0,29.1,7.618,14.5,88.1,1.0,2024-02-06 08:01:51,2024-02-06 17:17:02
2024-02-07,6.0,0.0,2.7,16.2,0.001,20.2,84.7,2.0,2024-02-07 08:00:01,2024-02-07 17:19:01
2024-02-08,7.0,2.7,4.9,37.0,15.809,7.6,92.7,1.0,2024-02-08 07:58:10,2024-02-08 17:20:59
2024-02-09,6.1,5.1,5.7,31.1,7.576,8.8,96.6,1.0,2024-02-09 07:56:16,2024-02-09 17:22:58
2024-02-10,8.9,1.5,4.9,16.3,0.085,13.7,92.1,1.0,2024-02-10 07:54:21,2024-02-10 17:24:56
2024-02-11,8.1,0.8,5.0,29.4,0.002,15.9,86.4,3.0,2024-02-11 07:52:25,2024-02-11 17:26:55
2024-02-12,8.0,1.9,4.7,28.5,0.077,20.0,81.1,3.0,2024-02-12 07:50:27,2024-02-12 17:28:53
2024-02-13,8.5,4.3,6.7,16.8,0.761,17.8,88.6,2.0,2024-02-13 07:48:27,2024-02-13 17:30:52
2024-02-14,13.0,7.1,11.2,19.4,2.467,15.6,90.2,1.0,2024-02-14 07:46:26,2024-02-14 17:32:50
2024-02-15,12.8,8.3,11.2,22.0,6.042,16.8,91.1,2.0,2024-02-15 07:44:24,2024-02-15 17:34:48
2024-02-16,10.9,7.8,9.4,28.1,0.682,14.1,90.4,3.0,2024-02-16 07:42:20,2024-02-16 17:36:46
2024-02-17,12.9,5.4,10.6,19.3,1.599,13.7,92.8,3.0,2024-02-17 07:40:15,2024-02-17 17:38:44
2024-02-18,12.7,9.6,10.9,24.6,0.177,16.7,87.0,4.0,2024-02-18 07:38:09,2024-02-18 17:40:42
2024-02-19,11.1,7.9,9.4,27.2,0.452,14.7,82.6,2.0,2024-02-19 07:36:01,2024-02-19 17:42:39
2024-02-20,12.1,5.5,9.6,30.5,0.85,18.6,82.7,3.0,2024-02-20 07:33:53,2024-02-20 17:44:36
2024-02-21,12.8,7.4,10.2,39.1,1.62,16.7,81.8,3.0,2024-02-21 07:31:43,2024-02-21 17:46:33
2024-02-22,9.0,3.0,5.2,36.2,3.818,19.3,81.5,3.0,2024-02-22 07:29:33,2024-02-22 17:48:30
2024-02-23,6.8,2.4,3.9,29.0,0.01,19.6,83.1,5.0,2024-02-23 07:27:21,2024-02-23 17:50:26
2024-02-24,7.2,1.9,3.9,18.6,0.004,17.9,88.8,5.0,2024-02-24 07:25:08,2024-02-24 17:52:22
2024-02-25,7.4,2.7,5.4,31.7,1.493,18.8,85.9,2.0,2024-02-25 07:22:55,2024-02-25 17:54:18
2024-02-26,8.7,1.3,4.2,25.2,0.747,20.6,80.1,4.0,2024-02-26 07:20:40,2024-02-26 17:56:14
2024-02-27,10.0,2.1,6.8,32.6,0.149,16.2,75.6,4.0,2024-02-27 07:18:25,2024-02-27 17:58:09
2024-02-28,12.0,4.8,9.1,24.7,5.9,9.3,86.8,2.0,2024-02-28 07:16:09,2024-02-28 18:00:04
2024-02-29,8.1,2.1,5.4,28.4,0.0,9.9,77.9,5.0,2024-02-29 07:13:52,2024-02-29 18:01:59
